,First_name,Last_name,Team,Conference,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
151,Brandon,Parrish,TCU,Big 12,39,3,18.7,15.3,114.8,104.6,0.5660000000000001,0.557,14.0,68.9,3.8,12.5,7.6,0.05,0.01,0.01,0.08
152,Landen,Lucas,KAN,Big 12,35,30,25.6,15.1,117.1,97.7,0.645,0.631,47.5,0.0,13.7,21.8,16.7,0.07,0.01,0.04,0.22
153,Jordan,Shepherd,OU,Big 12,28,4,17.0,15.0,97.5,106.8,0.49700000000000005,0.43700000000000006,36.9,45.6,0.9,6.7,3.5,0.17,0.02,0.01,0.18
154,Jamuni,McNeace,OU,Big 12,31,0,15.5,14.7,105.2,101.0,0.562,0.5529999999999999,41.7,1.0,8.5,17.3,11.8,0.02,0.01,0.09,0.16
155,Mitchell,Solomon,OKST,Big 12,33,22,20.1,13.7,120.8,108.8,0.5770000000000001,0.496,61.0,3.3,17.2,13.1,13.9,0.07,0.01,0.06,0.2
156,Nick,Weiler-Babb,IOWAST,Big 12,35,0,16.5,13.5,113.3,100.1,0.53,0.48700000000000004,36.3,23.0,5.4,15.4,9.9,0.15,0.03,0.01,0.15
157,Cameron,McGriff,OKST,Big 12,32,1,15.7,13.1,105.7,109.4,0.563,0.446,100.0,28.4,8.4,14.1,10.2,0.06,0.02,0.02,0.25
158,Ishmail,Wainright,BAYLOR,Big 12,35,35,29.4,12.3,107.7,95.4,0.51,0.483,23.8,51.7,6.6,13.8,9.4,0.18,0.04,0.01,0.23
159,Jake,Lindsey,BAYLOR,Big 12,35,4,22.6,12.0,115.6,102.1,0.556,0.53,23.3,39.1,2.7,8.8,5.3,0.24,0.01,0.02,0.21
160,Devon,Thomas,TEXTCH,Big 12,32,19,22.9,11.9,109.6,101.1,0.532,0.504,28.4,22.4,2.9,9.8,5.9,0.21,0.03,0.01,0.2
161,Nick,Ward,MSU,Big Ten,35,21,19.8,33.5,113.8,95.9,0.615,0.5920000000000001,65.4,0.0,17.5,20.2,17.6,0.05,0.01,0.08,0.13
162,Isaac,Haas,PUR,Big Ten,35,15,19.5,31.4,109.6,96.6,0.635,0.5870000000000001,63.8,0.0,11.5,18.0,13.9,0.06,0.01,0.04,0.18
163,Peter,Jok,IOWA,Big Ten,32,32,30.7,30.2,113.1,104.9,0.5870000000000001,0.516,36.2,47.3,3.3,15.6,8.9,0.18,0.02,0.0,0.13
164,Melo,Trimble,MD,Big Ten,33,33,32.1,28.4,106.4,101.9,0.5670000000000001,0.506,42.4,44.3,1.0,11.4,5.9,0.25,0.02,0.01,0.17
165,Corey,Sanders,RUTG,Big Ten,33,31,30.4,28.0,89.4,100.8,0.439,0.406,29.0,18.5,1.8,10.0,5.2,0.24,0.03,0.02,0.16
166,Caleb,Swanigan,PUR,Big Ten,35,35,32.5,28.0,115.2,92.3,0.629,0.5720000000000001,49.9,20.2,10.7,32.7,20.9,0.19,0.01,0.03,0.19
167,Tai,Webster,NEB,Big Ten,31,31,34.7,27.6,102.0,104.9,0.521,0.467,37.7,31.3,3.2,13.3,7.4,0.25,0.02,0.0,0.17
168,Miles,Bridges,MSU,Big Ten,28,27,32.0,27.1,107.1,96.3,0.585,0.563,25.3,39.6,5.7,23.0,14.0,0.15,0.01,0.05,0.14
169,Bryant,McIntosh,NU,Big Ten,36,36,34.2,26.9,100.3,103.8,0.494,0.446,21.9,27.8,0.8,8.0,4.1,0.32,0.01,0.0,0.15
170,Carsen,Edwards,PUR,Big Ten,35,21,23.3,26.7,94.1,97.8,0.49,0.455,22.1,43.0,2.2,10.4,6.1,0.14,0.03,0.0,0.15
171,Ethan,Happ,WIS,Big Ten,37,37,27.8,26.7,115.1,86.1,0.583,0.586,43.5,0.0,13.3,25.4,17.7,0.23,0.04,0.05,0.15
172,Lamar,Stevens,PSU,Big Ten,33,33,27.8,26.1,97.7,100.6,0.512,0.445,42.3,9.3,6.4,15.6,10.1,0.13,0.02,0.02,0.15
173,Malcolm,Hill,ILL,Big Ten,35,35,33.3,25.8,115.4,100.1,0.575,0.509,46.9,42.1,3.5,14.8,8.5,0.18,0.02,0.01,0.11
174,Eron,Harris,MSU,Big Ten,28,24,22.1,25.5,102.1,103.9,0.5589999999999999,0.524,24.8,47.4,2.8,11.7,7.1,0.16,0.01,0.01,0.15
175,Tyler,Cook,IOWA,Big Ten,27,26,24.5,25.2,102.0,105.5,0.581,0.5579999999999999,52.8,3.5,8.7,14.3,10.8,0.08,0.02,0.02,0.19
176,Moritz,Wagner,MICH,Big Ten,38,38,23.9,25.0,118.9,101.1,0.6609999999999999,0.635,35.3,38.0,7.6,15.2,10.7,0.05,0.03,0.02,0.14
177,Nate,Mason,MINN,Big Ten,34,34,34.5,24.8,105.7,100.0,0.499,0.436,34.7,33.3,2.0,8.8,5.0,0.29,0.02,0.0,0.11
178,Nigel,Johnson,RUTG,Big Ten,32,13,26.2,24.7,102.4,100.6,0.483,0.441,30.1,37.0,1.7,12.2,6.2,0.17,0.03,0.0,0.11
179,James,Blackmon Jr.,IND,Big Ten,30,30,30.5,24.6,122.5,106.9,0.634,0.601,23.6,58.9,3.9,13.8,8.4,0.12,0.01,0.0,0.13
180,Scottie,Lindsey,NU,Big Ten,32,32,30.6,24.6,108.2,100.3,0.539,0.5,21.1,46.9,2.0,11.7,6.3,0.16,0.02,0.01,0.1
181,Nigel,Hayes,WIS,Big Ten,37,37,32.4,24.3,111.4,97.6,0.522,0.485,58.4,17.8,8.0,16.5,11.2,0.17,0.02,0.01,0.11
182,Tony,Carr,PSU,Big Ten,33,33,32.8,24.2,97.3,103.4,0.49200000000000005,0.42100000000000004,42.0,27.5,2.2,14.0,7.4,0.27,0.01,0.01,0.16
183,Bronson,Koenig,WIS,Big Ten,36,35,31.4,23.6,114.8,101.6,0.568,0.5379999999999999,14.6,60.6,0.6,7.6,3.7,0.13,0.01,0.01,0.1
184,Jae'Sean,Tate,OSU,Big Ten,32,32,31.9,23.5,108.0,100.2,0.574,0.5589999999999999,45.0,10.8,7.1,14.8,10.3,0.14,0.02,0.02,0.15
185,Leron,Black,ILL,Big Ten,31,27,20.2,23.0,100.7,97.8,0.511,0.478,24.2,16.6,10.3,26.6,17.3,0.04,0.01,0.01,0.13
186,Derrick,Walton Jr.,MICH,Big Ten,38,38,34.8,22.8,127.8,103.5,0.631,0.561,43.4,59.2,1.7,16.1,8.5,0.27,0.02,0.0,0.12
187,Robert,Johnson,IND,Big Ten,34,32,29.4,22.6,106.8,105.5,0.565,0.546,14.7,52.4,1.5,15.0,8.0,0.16,0.02,0.0,0.17
188,Deshawn,Freeman,RUTG,Big Ten,33,31,27.0,22.6,103.5,95.9,0.53,0.493,48.2,5.6,10.9,20.3,14.1,0.07,0.02,0.04,0.16
