,Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
411,Arizona,Jake,DesJardins,7,0,1.7,21.2,44.8,104.9,0.347,0,100,0,0,9.3,4.6,0,0,0,0.41
412,Arizona,Paulo,Cruz,8,0,2.6,19.9,-,103.1,0,0,0,50,0,16,8,0,0,0,0.5
413,Arizona,Kadeem,Allen,34,33,30,18,110.1,95.8,0.578,0.521,49.2,31.8,1.5,13.7,7.5,0.179,0.032,0.023,0.185
414,Arizona,Chance,Comanche,37,2,18.1,17.6,113,100.8,0.615,0.571,47.4,0,7.7,15.5,11,0.037,0.005,0.023,0.168
415,Arizona,Parker,Jackson-Cartwright,31,10,24.9,13.4,118.7,99,0.581,0.541,40.6,53.4,1.7,9.6,5.5,0.28,0.029,0.006,0.207
416,Arizona,Keanu,Pinder,35,1,12,12.1,97.4,93.5,0.569,0.546,61.1,7.4,9.9,18.1,13.2,0.044,0.023,0.057,0.297
417,Arizona,Kory,Jones,4,0,1.8,7.5,-,100.5,1.5,1.5,0,100,0,0,0,0,0,0.157,0
418,Arizona,Tyler,Trillo,8,0,3.9,6.7,-,109.6,0,0,0,100,0,0,0,0.195,0,0,0.25
419,Oregon,Dillon,Brooks,35,27,25.3,31.5,114.6,98,0.591,0.556,29.9,33.6,4.9,9.6,6.8,0.231,0.025,0.02,0.131
420,Oregon,Evan,Gross,2,0,2,25.4,-,97,1.5,1.5,0,100,0,27.3,13.4,0,0,0,0.5
421,Oregon,Chris,Boucher,31,12,23.5,23.5,116.7,91.6,0.597,0.591,31.6,38.3,9.2,20.1,13.8,0.035,0.01,0.118,0.095
422,Oregon,Tyler,Dorsey,39,39,30,22.8,119.1,101.4,0.612,0.575,34.3,51.4,3.5,9.5,6.2,0.107,0.015,0.004,0.112
423,Oregon,Keith,Smith,27,0,6.4,18.9,101.7,97.6,0.484,0.469,27.1,35.4,7.8,9.4,8,0.169,0.024,0.031,0.17
424,Oregon,Dylan,Ennis,39,39,31.7,18.8,109.7,98.1,0.55,0.507,33.9,44,2.8,12.7,7.4,0.166,0.021,0.015,0.155
425,Oregon,Roman,Sorkin,23,0,8,18.8,127.6,99.8,0.608,0.547,30.2,39.6,12.1,14.8,12.5,0.115,0,0.047,0.118
