Team,Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Wisconsin,5,Vitto Brown,37,20.9,2.5,6.3,0.397,1.3,2.5,0.511,1.2,3.7,0.319,0.7,0.9,0.758,3.8,1,0.5,0.4,1.4,2.1,6.8
Wisconsin,6,D'Mitrik Trice,37,18.2,1.9,5,0.38,0.9,2.5,0.344,1,2.5,0.418,0.8,1,0.789,1.9,1.7,0.5,0.1,1,1.4,5.6
Wisconsin,7,Khalil Iverson,35,15.2,1.4,2.7,0.532,1.3,2.3,0.568,0.1,0.4,0.308,0.9,1.6,0.561,3.3,0.6,0.5,0.6,0.9,1.1,3.9
Wisconsin,8,Charles Thomas IV,28,6.3,0.8,1.9,0.389,0.7,1.7,0.396,0.1,0.2,0.333,0.6,0.7,0.9,1.3,0.2,0,0.1,0.6,1.4,2.2
Wisconsin,9,Brevin Pritzl,24,8.6,0.5,1.6,0.342,0.3,0.7,0.471,0.2,0.9,0.238,0.6,0.8,0.737,1.1,0.1,0.3,0,0.2,0.8,1.9
Wisconsin,10,Jordan Hill,35,10.2,0.5,1.5,0.352,0.3,0.5,0.526,0.3,1,0.257,0.2,0.3,0.667,1.1,0.5,0.2,0,0.3,0.7,1.5
Wisconsin,11,Andy Van Vliet,13,3.7,0.5,1.3,0.353,0.2,0.7,0.333,0.2,0.6,0.375,0.2,0.3,0.75,1.5,0.2,0,0.2,0.2,0.2,1.4
Wisconsin,12,Alex Illikainen,27,8.3,0.4,1.4,0.324,0.3,0.8,0.381,0.1,0.6,0.25,0.2,0.4,0.5,1.5,0.3,0.1,0.1,0.2,0.7,1.3
Wisconsin,13,T.J. Schlundt,12,1.7,0.1,0.5,0.167,0.1,0.2,0.5,0,0.3,0,0.1,0.1,1,0.2,0,0,0.1,0,0.1,0.3
Wisconsin,14,Aaron Moesch,17,2.4,0.1,0.2,0.25,0.1,0.2,0.25,0,0,,0.1,0.1,0.5,0.4,0.1,0.1,0,0,0.1,0.2
Wisconsin,15,Matt Ferris,9,1.2,0,0.6,0,0,0.3,0,0,0.2,0,0,0,,0.6,0.2,0.1,0,0,0.1,0
Maryland,1,Melo Trimble,33,32.1,5.5,12.5,0.436,3.7,7,0.53,1.8,5.5,0.317,4.2,5.3,0.789,3.6,3.7,1.1,0.2,3,1.8,16.8
Maryland,2,Justin Jackson,33,27.8,3.5,8.1,0.438,2.2,4.9,0.438,1.4,3.2,0.438,2,2.9,0.698,6,0.9,0.9,0.8,1.6,2.2,10.5
Maryland,3,Anthony Cowan,33,29,2.9,6.9,0.424,2.2,4.5,0.48,0.8,2.5,0.321,3.6,4.7,0.769,3.9,3.7,1.2,0.2,2.3,2,10.3
Maryland,4,Kevin Huerter,33,29.4,3.4,8,0.42,1.4,2.7,0.517,2,5.3,0.371,0.6,0.8,0.714,4.9,2.7,1,0.7,1.4,1.8,9.3
Maryland,5,Michal Cekovsky,17,13.2,3.2,4.8,0.671,3.2,4.8,0.671,0,0,,1.1,2.2,0.514,2.8,0.5,0.1,1.2,0.9,2.5,7.6
Maryland,6,Damonte Dodd,26,19.5,2.3,4,0.581,2.3,4,0.581,0,0,,1.5,2.8,0.527,4.4,0.4,0.2,2,1.4,3.4,6.2
Maryland,7,Jaylen Brantley,33,16.8,1.7,4.4,0.382,0.7,1.8,0.377,1,2.5,0.386,0.6,1,0.618,2,1,0.5,0,0.6,1.3,4.9
Maryland,8,Ivan Bender,32,14.3,2,3,0.663,2,3,0.663,0,0,,0.9,1.4,0.622,3.2,0.9,0.2,0.4,0.9,2.3,4.8
Maryland,9,L.G. Gill,33,12.7,1.1,2.5,0.451,1,2.2,0.472,0.1,0.3,0.3,1.2,1.8,0.644,2.1,0.3,0.2,0.2,0.3,1.6,3.5
Maryland,10,Dion Wiley,20,10.3,1,3,0.322,0.2,1,0.211,0.8,2,0.375,0.5,0.7,0.714,1.5,0.6,0.2,0.2,0.6,1.1,3.2
Maryland,11,Jared Nickens,33,10.2,1,3,0.327,0.2,0.6,0.263,0.8,2.4,0.342,0.3,0.4,0.833,0.9,0.2,0.1,0.1,0.4,0.8,3.1
Maryland,12,Travis Valmon,5,1.6,0,0.2,0,0,0.2,0,0,0,,0.4,0.4,1,0.4,0,0.2,0,0.4,0.6,0.4
Maryland,13,Andrew Terrell,5,1.6,0,0.2,0,0,0,,0,0.2,0,0,0,,0,0.4,0,0,0,0.2,0
Minnesota,1,Nate Mason,34,34.5,5,13.2,0.376,3.4,8.8,0.383,1.6,4.4,0.36,3.7,4.6,0.808,3.6,5,1.3,0.1,1.9,1.6,15.2
Minnesota,2,Amir Coffey,33,33.2,4,8.8,0.449,3,6,0.503,1,2.9,0.337,3.3,4.4,0.753,3.8,3.1,1.1,0.2,1.9,1.7,12.2
Minnesota,3,Jordan Murphy,34,27.5,4.2,8.4,0.502,4.1,7.5,0.549,0.1,0.9,0.125,2.7,4.4,0.615,8.8,0.9,0.7,1.1,1.6,3,11.3
Minnesota,4,Dupree McBrayer,34,27.9,3.8,8.4,0.448,2.7,5.8,0.462,1.1,2.6,0.416,2.4,3.3,0.741,2,2.7,0.9,0.3,1.5,1.5,11.1
Minnesota,5,Akeem Springs,32,24,3.2,8.4,0.381,1.1,2.9,0.376,2.1,5.5,0.383,1,1.5,0.681,3,1.3,0.6,0.2,0.9,1.1,9.5
Minnesota,6,Reggie Lynch,33,23.1,3.3,6,0.543,3.3,6,0.543,0,0,,1.9,2.9,0.639,6.1,0.5,0.5,3.5,1.5,3.4,8.4
Minnesota,7,Eric Curry,34,20,2,4.7,0.431,1.9,3.9,0.489,0.1,0.9,0.172,1.3,1.9,0.703,5.2,1.2,0.4,0.7,1,2,5.5
Minnesota,8,Ahmad Gilbert,15,5,0.5,1.8,0.296,0.1,0.3,0.2,0.5,1.5,0.318,0.1,0.3,0.5,0.9,0.1,0.1,0.1,0.5,0.5,1.7
Minnesota,9,Bakary Konate,33,9.7,0.6,1.2,0.463,0.6,1.2,0.475,0,0,0,0.5,0.7,0.625,2.8,0.1,0.2,0.8,0.5,2.2,1.6
Minnesota,10,Brady Rudrud,5,1.8,0.4,0.6,0.667,0.2,0.4,0.5,0.2,0.2,1,0.2,0.4,0.5,0.2,0,0,0,0,0,1.2
Minnesota,11,Michael Hurt,25,6,0.2,0.8,0.3,0.2,0.2,0.667,0.1,0.6,0.143,0.2,0.2,1,0.5,0.2,0.1,0,0.2,0.5,0.7
Minnesota,12,Gaston Diedhiou,4,2.3,0.3,0.8,0.333,0.3,0.5,0.5,0,0.3,0,0,0,,0.5,0,0,0,0,0,0.5
Minnesota,13,Stephon Sharp,9,1.8,0,0,,0,0,,0,0,,0.2,0.2,1,0,0.1,0.1,0,0.1,0.3,0.2
Minnesota,14,Darin Haugh,5,1.6,0,0.2,0,0,0,,0,0.2,0,0,0,,0.4,0.4,0,0,0.2,0,0
Michigan,1,Derrick Walton,38,34.8,4.5,10.3,0.436,1.9,4.2,0.456,2.6,6.1,0.422,3.9,4.5,0.876,4.8,4.9,1.1,0,1.7,1.7,15.5
Michigan,2,Zak Irvin,38,35.4,5.1,11.3,0.453,3.7,7.2,0.516,1.4,4.1,0.344,1.3,2,0.671,4.5,3,0.9,0.1,1.9,1.2,13
Michigan,3,Moritz Wagner,38,23.9,4.4,7.9,0.56,3.2,4.9,0.661,1.2,3,0.395,2,2.8,0.726,4.2,0.5,1,0.4,1.4,2.7,12.1
Michigan,4,D.J. Wilson,38,30.4,4.3,8,0.538,3.2,5.1,0.631,1.1,2.9,0.373,1.3,1.6,0.833,5.3,1.3,0.5,1.5,1.1,1.9,11
Michigan,5,Muhammad-Ali Abdur-Rahkman,38,30.6,3.2,6.8,0.463,2.1,3.9,0.527,1.1,2.9,0.378,1.6,2.1,0.765,2.8,1.9,0.9,0.1,1.1,2.2,9.1
Michigan,6,Duncan Robinson,38,20.1,2.7,5.7,0.47,1,1.7,0.578,1.7,4,0.424,0.7,0.8,0.781,1.7,0.9,0.4,0.2,0.5,1.8,7.7
Michigan,7,Mark Donnal,38,12.2,1.3,2.1,0.617,1.1,1.7,0.651,0.2,0.5,0.5,1,1.3,0.78,2,0.1,0.3,0.3,0.4,1.5,3.9
Michigan,8,Xavier Simpson,38,8.7,0.4,1.1,0.372,0.3,0.6,0.458,0.1,0.5,0.263,0.6,0.8,0.71,0.6,1,0.6,0.1,0.5,1.2,1.6
Michigan,9,Ibi Watson,19,4.4,0.5,1.5,0.345,0.5,0.6,0.818,0.1,0.9,0.056,0.2,0.2,0.75,0.4,0.1,0.1,0,0.2,0.3,1.3
Michigan,10,Sean Lonergan,17,2.1,0.2,0.5,0.444,0.2,0.4,0.571,0,0.1,0,0.2,0.4,0.5,0.4,0.2,0,0.1,0.1,0.6,0.6
Michigan,11,Fred Wright-Jones,13,1.5,0.1,0.3,0.25,0,0.2,0,0.1,0.2,0.5,0.2,0.2,1,0.1,0,0,0,0.1,0.2,0.4
Michigan,12,Brent Hibbitts,11,2,0.1,0.2,0.5,0,0,,0.1,0.2,0.5,0,0,,0.4,0.2,0,0,0.2,0.2,0.3
Michigan,13,Jon Teske,20,3,0.1,0.4,0.143,0.1,0.3,0.167,0,0.1,0,0.2,0.3,0.5,0.6,0.1,0.1,0.3,0.1,0.5,0.3
Northwestern,1,Bryant McIntosh,36,34.2,5.5,13.7,0.404,4.4,9.9,0.441,1.2,3.8,0.307,2.6,3,0.87,2.8,5.2,0.7,0.1,2.7,2.1,14.8
Northwestern,2,Scottie Lindsey,32,30.5,5.1,12,0.424,3.3,6.4,0.515,1.8,5.6,0.322,2.1,2.5,0.838,3.8,2.3,1,0.3,1.4,2.3,14.1
Northwestern,3,Vic Law,36,32.1,4.1,10.2,0.402,2.4,6,0.403,1.7,4.2,0.4,2.5,3.4,0.738,5.8,1.8,1,0.5,1.6,2.7,12.3
Northwestern,4,Dererk Pardon,28,30.8,3.6,6,0.611,3.6,6,0.611,0,0,,1.3,2.4,0.544,8.1,1.1,0.8,1.8,1.1,2.7,8.6
Northwestern,5,Isiah Brown,35,14.8,2,6,0.332,1.5,4.1,0.352,0.5,1.9,0.288,1.8,2.3,0.768,1.2,1.2,0.5,0.2,1.1,1.7,6.3
Northwestern,6,Sanjay Lumpkin,36,28,2.1,3.8,0.558,1.7,2.4,0.705,0.4,1.4,0.3,1.3,1.9,0.681,5.4,1.4,0.6,0.4,0.7,3.1,6
Northwestern,7,Gavin Skelly,36,17.7,2,4.3,0.465,1.5,2.6,0.568,0.5,1.7,0.3,1.4,1.9,0.754,3.7,1.3,0.3,1.2,1.3,2.8,5.9
Northwestern,8,Nathan Taphorn,35,12.2,1.5,3.1,0.473,0.4,0.8,0.481,1.1,2.4,0.47,0.4,0.5,0.813,1.5,0.7,0.1,0.2,0.4,1.2,4.5
Northwestern,9,Barret Benson,32,8,0.8,1.4,0.591,0.8,1.4,0.591,0,0,,0.4,0.7,0.565,1.6,0.4,0.3,0.6,0.3,1.6,2
Northwestern,10,Jordan Ash,26,4,0.2,0.8,0.238,0,0.2,0,0.2,0.6,0.313,0,0,,0.5,0.4,0.2,0,0.2,0.4,0.6
Northwestern,11,Aaron Falzon,3,6.7,0,1,0,0,0,,0,1,0,0,0,,0.7,1,0,0.3,0.3,0.3,0
Northwestern,12,Charlie Hall,7,1.1,0,0.3,0,0,0,,0,0.3,0,0,0,,0.6,0,0,0,0,0,0
Michigan State,1,Miles Bridges,28,32,6.3,13,0.486,4.3,7.9,0.55,2,5.1,0.389,2.3,3.3,0.685,8.3,2.1,0.7,1.5,2.4,1.9,16.9
Michigan State,2,Nick Ward,35,19.8,5.2,8.7,0.592,5.2,8.7,0.592,0,0,,3.5,5.7,0.615,6.5,0.4,0.3,1.5,1.7,2.8,13.9
Michigan State,3,Eron Harris,27,22.9,3.7,8.7,0.432,2.1,4.6,0.472,1.6,4.1,0.387,1.7,2.2,0.763,3,1.7,0.4,0.2,1.7,1.5,10.7
Michigan State,4,Joshua Langford,35,21,2.7,5.4,0.497,1.6,2.9,0.57,1.1,2.5,0.416,0.5,0.7,0.654,2.3,1.1,0.4,0.1,1.1,2,6.9
Michigan State,5,Cassius Winston,35,20.7,2.2,5.2,0.423,1.4,3.2,0.45,0.8,2,0.38,1.6,2,0.786,1.8,5.2,0.7,0.1,2.2,2.1,6.7
Michigan State,6,Alvin Ellis,35,19.4,2.1,5.1,0.4,0.9,1.9,0.463,1.2,3.2,0.363,1.1,1.6,0.702,3.1,1.2,0.6,0.4,1.4,1.9,6.4
Michigan State,7,Matt McQuaid,34,21,1.8,5.1,0.353,0.6,1.6,0.358,1.2,3.5,0.35,0.7,1,0.714,1.9,1.2,0.4,0.1,0.8,2,5.6
Michigan State,8,Lourawls Nairn,35,22.8,1.4,3.3,0.417,1,2.2,0.462,0.3,1.1,0.324,0.4,0.8,0.519,2.5,3.6,0.4,0.1,1.1,1.7,3.5
Michigan State,9,Kenny Goins,35,18.3,1.4,2.4,0.578,1.4,2.4,0.578,0,0,,0.6,0.9,0.667,4.5,0.6,0.2,0.6,1.1,2.6,3.4
Michigan State,10,Kyle Ahrens,34,8.2,0.9,2.1,0.429,0.4,0.7,0.6,0.4,1.3,0.333,0.4,0.5,0.75,1.1,0.2,0,0,0.3,1.4,2.6
Michigan State,11,Matt Van Dyk,30,7.7,0.5,0.9,0.538,0.5,0.9,0.538,0,0,,0.4,0.8,0.478,1.7,0.4,0.3,0.4,0.4,1.1,1.3
Michigan State,12,Conner George,10,1.2,0.1,0.2,0.5,0.1,0.1,1,0,0.1,0,0.4,0.6,0.667,0.3,0.1,0,0,0.3,0,0.6
Michigan State,13,Greg Roy,8,1,0.1,0.4,0.333,0.1,0.3,0.5,0,0.1,0,0.1,0.3,0.5,0.1,0,0,0,0,0.3,0.4
Iowa,1,Peter Jok,32,30.7,6.2,14.6,0.427,3.6,7.7,0.469,2.6,6.9,0.38,4.8,5.3,0.911,5.5,2.6,1.1,0.1,2.5,2.2,19.9
Iowa,2,Tyler Cook,27,24.5,4.7,8.6,0.554,4.7,8.3,0.565,0.1,0.3,0.25,2.7,4.5,0.598,5.3,1,0.7,0.4,2.4,2.5,12.3
Iowa,3,Jordan Bohannon,34,29.6,3.5,8.9,0.388,0.9,2.6,0.322,2.6,6.3,0.416,1.4,1.6,0.855,2.2,5.1,0.9,0.1,2.2,1.6,10.9
Iowa,4,Cordell Pemsl,34,19.3,3.4,5.5,0.617,3.4,5.5,0.62,0,0,0,2,3.5,0.575,5,1.1,0.7,0.7,1.6,2.5,8.9
Iowa,5,Nicholas Baer,34,23.8,2.7,6,0.448,1.3,2.6,0.517,1.4,3.4,0.397,0.8,1.3,0.614,5.8,1.7,1.4,1.3,0.8,2.3,7.5
Iowa,6,Isaiah Moss,34,17.1,2.5,6,0.412,1.6,3.6,0.447,0.9,2.4,0.358,0.7,0.9,0.742,1.6,0.9,0.6,0.4,1.1,1.2,6.5
Iowa,7,Ahmad Wagner,34,16,1.9,3.6,0.512,1.9,3.6,0.521,0,0.1,0,1.1,2.4,0.463,3.4,1.4,0.8,0.4,0.9,2.1,4.8
Iowa,8,Brady Ellingson,34,14.2,1.4,3.3,0.441,0.5,1.3,0.395,0.9,2,0.471,0.5,0.5,1,1.1,1.1,0.3,0,0.4,0.8,4.4
Iowa,9,Dom Uhl,32,14.6,1.1,3,0.351,0.8,1.7,0.436,0.3,1.3,0.238,1.1,1.6,0.673,3.2,1.2,0.2,0.3,1,1,3.5
Iowa,10,Ryan Kriener,28,8.4,1.4,2.5,0.551,1.3,2.3,0.578,0,0.2,0.2,0.3,0.5,0.6,2.2,0.4,0.2,0.3,0.6,1.4,3.1
Iowa,11,Christian Williams,34,12.8,0.9,2.7,0.348,0.9,2.3,0.38,0.1,0.4,0.154,0.4,0.8,0.519,1.6,1.6,0.8,0,0.9,0.9,2.4
Iowa,12,Maishe Dailey,12,7.6,0.8,1.8,0.455,0.5,0.8,0.6,0.3,1,0.333,0.3,0.5,0.5,1.6,0.4,0.3,0.1,0.4,0.5,2.3
Iowa,13,Dale Jones,5,3.2,0.2,1.6,0.125,0,0.2,0,0.2,1.4,0.143,0,0,,0.8,0.2,0,0,0.4,1,0.6
Iowa,14,Charlie Rose,7,1.3,0.1,0.4,0.333,0.1,0.3,0.5,0,0.1,0,0,0,,0.1,0.1,0,0,0.1,0.4,0.3
Illinois,1,Malcolm Hill,35,33.3,5.4,12.4,0.434,3.5,7.2,0.492,1.9,5.2,0.355,4.6,5.8,0.784,5.1,2.9,1.2,0.4,1.9,2.1,17.2
Illinois,2,Maverick Morgan,35,25.6,4.1,7.6,0.54,4.1,7.6,0.54,0,0,,1.7,2.7,0.656,4.5,0.9,0.3,0.8,1.7,2.2,9.9
Illinois,3,Tracy Abrams,35,24.2,3,7,0.426,1.5,3.3,0.453,1.5,3.6,0.402,1.2,1.7,0.712,2.9,2.3,1,0.2,1.3,2,8.6
Illinois,4,Leron Black,31,20.2,3.3,7.2,0.453,2.9,6,0.484,0.4,1.2,0.297,1.3,1.7,0.722,6.3,0.4,0.5,0.1,1.2,2.9,8.1
Illinois,5,Jalen Coleman-Lands,35,24.3,2.7,7.3,0.366,0.7,2,0.329,2,5.3,0.38,0.6,0.7,0.84,2.3,1,0.7,0.1,1,2.1,8
Illinois,6,Michael Finke,32,19.8,2.6,5.4,0.483,1.4,2.6,0.561,1.2,2.8,0.411,0.5,1,0.548,4.2,0.7,0.3,0.2,0.9,1.4,6.9
Illinois,7,Mike Thorne,24,13.3,2.2,4,0.547,2.2,4,0.547,0,0,,0.7,1.5,0.457,3.3,0.3,0,0.3,1.1,2.1,5
Illinois,8,Kipper Nichols,21,13.6,1.9,4.1,0.453,1.3,2.8,0.458,0.6,1.3,0.444,0.6,1,0.619,2.9,0.1,0.3,0.3,0.7,2.2,4.9
Illinois,9,Te'Jon Lucas,31,20.7,1.5,3.7,0.409,1.1,2.7,0.422,0.4,1,0.375,1.4,2.3,0.592,1.9,3.1,1,0,1.6,1.9,4.8
Illinois,10,Jaylon Tate,26,15.7,0.7,1.8,0.383,0.6,1.4,0.444,0.1,0.4,0.182,0.9,1.3,0.686,1.3,2.8,0.5,0.1,1.2,1.2,2.4
