Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
Wisconsin,"15 Moesch, Aaron F",f,18,0,2.2,6.4,123.2,98.8,0.307,0.25,50,0,14.6,6.1,9.6,0.080,0.031,0.000,0.000
Maryland,"1 Trimble, Melo G",f,33,33,32.1,28.4,106.4,101.9,0.567,0.506,42.4,44.3,1,11.4,5.9,0.252,0.020,0.005,0.169
Maryland,"2 Cekovsky, Michal F",f,17,4,13.2,26,116.2,99.3,0.656,0.671,45.1,0,11,13.3,11.2,0.094,0.005,0.092,0.140
Maryland,"3 Valmon, Travis G",f,5,0,1.6,24.7,76.8,94.2,0.532,0,200,0,29.4,0,13.1,0.000,0.075,0.000,0.515
Maryland,"4 Jackson, Justin F",f,33,30,27.8,20.2,107.1,98.3,0.561,0.524,36,39.3,7.4,16.9,11.3,0.068,0.019,0.029,0.149
Maryland,"5 Cowan, Anthony G",f,33,33,29,19.9,109.9,100.8,0.571,0.48,68.1,35.4,3.6,11.5,7.1,0.246,0.025,0.005,0.203
Maryland,"6 Wiley, Dion G",f,20,0,10.3,19.2,97.1,103.4,0.483,0.449,23.7,67.8,5.7,10.2,7.4,0.101,0.012,0.020,0.156
Maryland,"7 Nickens, Jared G-F",f,33,1,10.2,17.6,96.1,106.5,0.489,0.464,12.2,80.6,2.1,7.5,4.5,0.045,0.007,0.006,0.112
Maryland,"8 Dodd, Damonte F",f,26,24,19.5,17.5,108.6,100.3,0.585,0.581,70.5,0,16.2,9.5,11.8,0.043,0.006,0.105,0.207
Maryland,"9 Huerter, Kevin G",f,33,33,29.4,16.9,110.1,98.9,0.556,0.544,10.6,66.3,2.7,16,8.8,0.178,0.020,0.024,0.143
Maryland,"10 Brantley, Jaylen G",f,33,0,16.8,16.5,103.3,102.7,0.513,0.493,23.6,57.6,1.9,10.9,6,0.110,0.018,0.000,0.117
Maryland,"11 Bender, Ivan F",f,32,5,14.3,16.1,118.1,100.7,0.671,0.663,47.4,0,8.3,16.9,11.7,0.126,0.007,0.027,0.202
Maryland,"12 Gill, L.G. F",f,33,2,12.7,14.5,113.2,104.3,0.533,0.47,72,12.2,7.3,11,8.5,0.040,0.007,0.012,0.092
Maryland,"13 Terrell, Andrew G",f,5,0,1.6,6.4,-,111.6,0,0,0,100,0,0,0,0.401,0.000,0.000,0.000
Minnesota,"1 Mason, Nate G",f,34,34,34.5,24.8,105.7,100,0.499,0.436,34.7,33.3,2,8.8,5,0.292,0.023,0.003,0.111
Minnesota,"2 Gilbert, Ahmad G",f,15,0,5,24.4,72.7,96.5,0.435,0.426,14.8,81.5,2.9,16.1,8.9,0.050,0.015,0.026,0.218
Minnesota,"3 Murphy, Jordan F",f,34,34,27.5,21.7,105.1,92.4,0.544,0.509,51.6,11.1,9.6,23.5,15.2,0.064,0.014,0.037,0.137
Minnesota,"4 Rudrud, Brady G",f,5,0,1.8,21.5,145,104.2,0.773,0.833,66.7,33.3,0,11.2,5.3,0.000,0.000,0.000,0.000
Minnesota,"5 Springs, Akeem G",f,32,14,24.1,20.6,103.8,101,0.525,0.506,17.5,65.3,2.4,10.3,5.9,0.110,0.013,0.008,0.094
Minnesota,"6 McBrayer, Dupree G",f,34,21,27.8,20.3,108,101.9,0.558,0.509,39.3,30.9,1,6.3,3.4,0.195,0.018,0.010,0.132
Minnesota,"7 Coffey, Amir G",f,33,33,33.3,19,108.6,100.4,0.567,0.503,50,32.5,2.3,9.5,5.5,0.179,0.018,0.004,0.152
Minnesota,"8 Lynch, Reggie C",f,33,33,23.2,18.9,105.6,90.1,0.575,0.543,48.7,0,9.9,17.4,12.5,0.040,0.011,0.145,0.169
Minnesota,"9 Diedhiou, Gaston F",f,4,0,2.3,16.6,-,104.2,0.333,0.333,0,33.3,12.1,11.2,10.6,0.000,0.000,0.000,0.000
Minnesota,"10 Curry, Eric F",f,34,1,19.9,16.4,102.6,95.4,0.5,0.447,40,18.1,8.5,18.4,12.4,0.115,0.013,0.034,0.157
Minnesota,"11 Haugh, Darin G",f,5,0,1.6,12.4,-,97.3,0,0,0,100,0,25.2,11.9,0.392,0.000,0.000,0.500
Minnesota,"12 Konate, Bakary C",f,33,0,9.7,11,96.6,91.6,0.533,0.488,57.1,4.8,9.9,19.5,13.5,0.016,0.014,0.076,0.255
Minnesota,"13 Hurt, Michael F",f,26,0,5.8,9.2,82.7,104.2,0.414,0.35,20,70,2.9,6,4.1,0.067,0.008,0.006,0.216
Minnesota,"14 Sharp, Stephon G",f,9,0,1.8,5.8,-,100.8,1.136,-,-,-,0,0,0,0.098,0.036,0.000,0.532
Michigan,"1 Wagner, Moritz F",f,38,38,23.9,25,118.9,101.1,0.661,0.635,35.3,38,7.6,15.2,10.7,0.047,0.027,0.016,0.137
Michigan,"2 Watson, Ibi G-F",f,19,0,4.4,23,75.5,105.9,0.39,0.362,13.8,62.1,0,12.5,5.9,0.023,0.015,0.000,0.089
Michigan,"3 Walton Jr., Derrick G",f,38,38,34.8,22.8,127.8,103.5,0.631,0.561,43.4,59.2,1.7,16.1,8.5,0.273,0.021,0.001,0.124
Michigan,"4 Irvin, Zak G-F",f,38,38,35.4,22.5,105.1,105.2,0.534,0.516,17.7,36.5,2.3,14.3,7.9,0.165,0.016,0.002,0.133
Michigan,"5 Lonergan, Sean F",f,17,0,2.1,21.4,96.4,103,0.473,0.444,66.7,22.2,3.8,21.6,11.9,0.154,0.000,0.029,0.147
Michigan,"6 Wright-Jones, Fred G",f,13,0,1.4,18.5,89.4,110.9,0.512,0.375,50,50,0,7.2,3.4,0.000,0.000,0.000,0.170
Michigan,"7 Robinson, Duncan G-F",f,38,3,20.1,18.4,123.3,106.8,0.635,0.619,14.9,70.2,1.9,9.3,5.3,0.083,0.012,0.012,0.077
Michigan,"8 Wilson, D.J. F",f,38,36,30.4,18.3,123.2,102.4,0.632,0.605,19.7,36.1,6.7,16.3,10.8,0.085,0.011,0.052,0.112
